Rk,Player_URL,Player,Pos,Age,Tm_URL,Tm,G,MP,PER,TS_,ThreePAr,FTr,ORB_,DRB_,TRB_,AST_,STL_,BLK_,TOV_,USG_,OWS,DWS,WS,WS_48,OBPM,DBPM,BPM,BPM1,VORP
49,https://www.basketball-reference.com/players/b/blackta01.html,Tarik Black,C,24,https://www.basketball-reference.com/teams/LAL/2016.html,LAL,39,496,12.3,.537,.000,.433,9.2,25.4,17.0,5.2,1.4,2.9,15.1,12.9,0.3,0.4,0.7,.072,-3.1,-0.2,-3.3,-3.3,-0.2
50,https://www.basketball-reference.com/players/b/blairde01.html,DeJuan Blair,C,26,https://www.basketball-reference.com/teams/WAS/2016.html,WAS,29,218,5.4,.414,.015,.191,10.1,19.4,14.6,7.3,1.8,0.7,16.9,17.8,-0.3,0.3,-0.1,-0.015,-8.1,-0.7,-8.9,-8.9,-0.4
51,https://www.basketball-reference.com/players/b/blakest01.html,Steve Blake,PG,35,https://www.basketball-reference.com/teams/DET/2016.html,DET,58,986,9.8,.510,.629,.083,1.0,9.2,4.9,29.5,1.2,0.4,24.6,14.6,0.3,0.8,1.1,.053,-1.7,-0.7,-2.4,,-0.1
52,https://www.basketball-reference.com/players/b/bledser01.html,Eric Bledsoe,PG,26,https://www.basketball-reference.com/teams/PHO/2016.html,PHO,31,1059,20.0,.557,.262,.350,1.8,11.2,6.4,31.8,2.9,1.5,16.2,27.2,1.6,1.0,2.5,.116,2.5,0.8,3.3,,1.4
53,https://www.basketball-reference.com/players/b/bogdabo02.html,Bojan Bogdanović,SF,26,https://www.basketball-reference.com/teams/BRK/2016.html,BRK,79,2115,10.7,.550,.451,.176,1.9,11.8,6.8,7.3,0.7,0.2,12.5,19.4,0.9,0.0,0.9,.021,-1.0,-2.6,-3.5,,-0.8
54,https://www.basketball-reference.com/players/b/bogutan01.html,Andrew Bogut,C,31,https://www.basketball-reference.com/teams/GSW/2016.html,GSW,70,1451,15.9,.623,.004,.179,9.5,26.0,18.3,14.8,1.1,5.8,21.6,11.4,2.6,2.9,5.4,.180,-0.9,3.2,2.4,,1.6
55,https://www.basketball-reference.com/players/b/bonnema01.html,Matt Bonner,C,35,https://www.basketball-reference.com/teams/SAS/2016.html,SAS,30,206,14.1,.647,.596,.070,1.7,12.8,7.5,6.3,1.5,0.4,4.9,13.7,0.4,0.3,0.8,.181,1.2,1.0,2.2,2.2,0.2
56,https://www.basketball-reference.com/players/b/bookede01.html,Devin Booker,SG,19,https://www.basketball-reference.com/teams/PHO/2016.html,PHO,76,2108,11.9,.535,.333,.295,1.4,8.4,4.8,15.8,1.0,0.8,14.0,23.0,1.2,0.7,1.9,.043,-1.2,-1.7,-2.8,,-0.5
57,https://www.basketball-reference.com/players/b/booketr01.html,Trevor Booker,PF,28,https://www.basketball-reference.com/teams/UTA/2016.html,UTA,79,1632,14.4,.533,.106,.273,11.9,20.4,16.2,8.2,1.9,2.1,15.7,14.6,1.8,2.6,4.3,.128,-1.0,1.0,0.0,,0.8
58,https://www.basketball-reference.com/players/b/boshch01.html,Chris Bosh,PF,31,https://www.basketball-reference.com/teams/MIA/2016.html,MIA,53,1778,20.2,.571,.289,.349,3.2,21.1,12.4,12.1,1.0,1.5,8.1,24.7,4.1,2.3,6.4,.172,3.6,0.5,4.0,,2.7
