Rk,Player_URL,Player,Pos,Age,Tm_URL,Tm,G,MP,PER,TS_,ThreePAr,FTr,ORB_,DRB_,TRB_,AST_,STL_,BLK_,TOV_,USG_,OWS,DWS,WS,WS_48,OBPM,DBPM,BPM,BPM1,VORP
95,https://www.basketball-reference.com/players/c/clavevi01.html,Victor Claver,SF,25,https://www.basketball-reference.com/teams/POR/2014.html,POR,21,184,8.8,.502,.429,.262,5.3,17.4,11.4,9.1,0.8,1.1,19.0,13.7,0.0,0.2,0.2,.047,-3.2,0.0,-3.2,-3.2,-0.1
96,https://www.basketball-reference.com/players/c/coleno01.html,Norris Cole,PG,25,https://www.basketball-reference.com/teams/MIA/2014.html,MIA,82,2014,8.8,.497,.348,.136,1.1,8.6,5.0,17.9,2.0,0.2,19.3,15.6,-0.5,1.7,1.2,.029,-2.8,-0.4,-3.1,,-0.6
97,https://www.basketball-reference.com/players/c/collija04.html,Jason Collins,C,35,https://www.basketball-reference.com/teams/BRK/2014.html,BRK,22,172,4.1,.485,.125,.167,4.9,8.3,6.6,3.5,2.4,0.5,21.4,8.9,-0.1,0.1,0.1,.017,-6.4,-0.3,-6.7,-6.7,-0.2
98,https://www.basketball-reference.com/players/c/collida01.html,Darren Collison,PG,26,https://www.basketball-reference.com/teams/LAC/2014.html,LAC,80,2069,16.2,.575,.272,.323,2.6,7.3,5.0,21.9,2.2,0.6,14.3,19.7,3.8,2.0,5.9,.136,1.1,0.4,1.5,,1.8
99,https://www.basketball-reference.com/players/c/collini01.html,Nick Collison,PF,33,https://www.basketball-reference.com/teams/OKC/2014.html,OKC,81,1353,11.8,.599,.071,.386,10.2,14.1,12.2,10.9,1.1,1.7,20.1,11.6,2.0,1.6,3.6,.128,-1.3,0.5,-0.9,,0.4
100,https://www.basketball-reference.com/players/c/conlemi01.html,Mike Conley,PG,26,https://www.basketball-reference.com/teams/MEM/2014.html,MEM,73,2446,20.0,.545,.283,.268,2.0,8.4,5.2,30.1,2.4,0.4,11.5,24.6,5.5,2.7,8.2,.161,3.4,0.3,3.8,,3.6
101,https://www.basketball-reference.com/players/c/copelch01.html,Chris Copeland,SF,29,https://www.basketball-reference.com/teams/IND/2014.html,IND,41,265,17.6,.621,.675,.120,3.1,10.1,6.8,12.6,0.6,2.0,10.2,23.7,0.6,0.4,1.0,.186,4.2,0.3,4.5,4.5,0.4
102,https://www.basketball-reference.com/players/c/couside01.html,DeMarcus Cousins,C,23,https://www.basketball-reference.com/teams/SAC/2014.html,SAC,71,2298,26.1,.555,.006,.500,10.6,30.5,20.4,17.8,2.4,3.2,14.7,32.7,4.1,3.8,7.9,.166,3.6,1.6,5.2,,4.2
103,https://www.basketball-reference.com/players/c/covinro01.html,Robert Covington,SF,23,https://www.basketball-reference.com/teams/HOU/2014.html,HOU,7,34,15.0,.571,.786,.000,6.9,9.3,8.2,0.0,2.9,0.0,6.7,19.3,0.1,0.0,0.1,.122,1.5,-0.8,0.7,0.7,0.0
104,https://www.basketball-reference.com/players/c/crabbal01.html,Allen Crabbe,SG,21,https://www.basketball-reference.com/teams/POR/2014.html,POR,15,100,7.7,.475,.424,.121,1.1,8.5,4.8,8.7,1.0,0.7,7.9,16.5,0.0,0.1,0.1,.037,-4.6,-1.4,-6.1,-6.1,-0.1
