Field,Field1,Field2,Field3,Field4,Field5,Field6,Field7,Field8,Field9,Field10,Field11,sortcell,Field12,Field13,Field14,Field15
Hollinger Stats - Player Efficiency Rating - All Players,,,,,,,,,,,,,,,,
RK,PLAYER,GP,MPG,TS%,AST,TO,USG,ORR,DRR,REBR,PER,,VA,EWA,,
41,"Jeremy Lin, NY",35,26.9,.552,26.8,15.6,27.6,2.2,11.1,6.6,19.97,19.97,125.8,4.2,http://insider.espn.go.com/nba/players/hollinger?playerId=4299,Jeremy Lin
42,"JaVale McGee, DEN/WSH",61,25.2,.552,4.2,11.7,18.5,12.1,23.3,17.7,19.90,19.90,213.1,7.1,http://insider.espn.go.com/nba/players/hollinger?playerId=3452,JaVale McGee
43,"David Lee, GS",57,37.2,.549,11.9,11.0,23.3,9.2,19.9,14.6,19.81,19.81,263.2,8.8,http://insider.espn.go.com/nba/players/hollinger?playerId=2772,David Lee
44,"Carlos Boozer, CHI",66,29.5,.549,10.9,10.1,22.2,6.7,25.3,16.1,19.79,19.79,241.0,8.0,http://insider.espn.go.com/nba/players/hollinger?playerId=1703,Carlos Boozer
45,"Paul Pierce, BOS",61,34.0,.567,18.4,11.6,25.5,2.2,15.2,9.0,19.69,19.69,284.6,9.5,http://insider.espn.go.com/nba/players/hollinger?playerId=662,Paul Pierce
46,"James Singleton, WSH",12,21.8,.600,14.1,9.4,14.5,10.7,24.3,17.4,19.66,19.66,31.9,1.1,http://insider.espn.go.com/nba/players/hollinger?playerId=2873,James Singleton
,"Jeremy Evans, UTAH",29,7.5,.632,19.4,7.5,10.7,9.9,16.6,13.2,19.66,19.66,29.7,1.0,http://insider.espn.go.com/nba/players/hollinger?playerId=4295,Jeremy Evans
48,"Joakim Noah, CHI",64,30.4,.561,19.2,11.0,15.3,14.1,21.8,18.0,19.59,19.59,261.0,8.7,http://insider.espn.go.com/nba/players/hollinger?playerId=3224,Joakim Noah
49,"Ty Lawson, DEN",61,34.8,.579,28.4,10.6,20.9,3.1,9.2,6.2,19.43,19.43,267.1,8.9,http://insider.espn.go.com/nba/players/hollinger?playerId=4000,Ty Lawson
50,"Roy Hibbert, IND",65,29.8,.539,10.7,12.7,19.4,12.5,20.7,16.6,19.35,19.35,253.0,8.4,http://insider.espn.go.com/nba/players/hollinger?playerId=3436,Roy Hibbert
Hollinger Stats - Player Efficiency Rating - All Players,,,,,,,,,,,,,,,,
RK,PLAYER,GP,MPG,TS%,AST,TO,USG,ORR,DRR,REBR,PER,,VA,EWA,,
51,"Eric Gordon, NO",9,34.4,.549,13.9,10.7,27.1,0.8,8.7,4.8,19.23,19.23,40.4,1.3,http://insider.espn.go.com/nba/players/hollinger?playerId=3431,Eric Gordon
52,"Al Horford, ATL",11,31.6,.585,15.4,10.2,16.3,8.8,17.1,13.0,19.02,19.02,43.7,1.5,http://insider.espn.go.com/nba/players/hollinger?playerId=3213,Al Horford
53,"Serge Ibaka, OKC",66,27.2,.556,4.3,12.2,13.8,13.2,18.2,15.9,18.98,18.98,200.1,6.7,http://insider.espn.go.com/nba/players/hollinger?playerId=3439,Serge Ibaka
54,"Chris Andersen, DEN",32,15.2,.583,3.6,10.2,13.0,11.9,23.3,17.8,18.97,18.97,60.7,2.0,http://insider.espn.go.com/nba/players/hollinger?playerId=1135,Chris Andersen
55,"Chris Bosh, MIA",57,35.2,.551,9.0,10.2,21.6,5.8,20.5,13.5,18.94,18.94,222.8,7.4,http://insider.espn.go.com/nba/players/hollinger?playerId=1977,Chris Bosh
56,"Thaddeus Young, PHI",63,27.9,.538,8.4,6.3,19.3,8.6,12.0,10.3,18.93,18.93,213.1,7.1,http://insider.espn.go.com/nba/players/hollinger?playerId=3244,Thaddeus Young
,"Anderson Varejao, CLE",25,31.4,.542,12.7,13.3,15.7,15.2,26.8,20.8,18.93,18.93,87.1,2.9,http://insider.espn.go.com/nba/players/hollinger?playerId=2419,Anderson Varejao
58,"Kyle Lowry, HOU",47,32.1,.558,29.8,12.5,21.9,2.9,13.7,8.2,18.89,18.89,177.8,5.9,http://insider.espn.go.com/nba/players/hollinger?playerId=3012,Kyle Lowry
59,"Drew Gooden, MIL",56,26.2,.512,14.4,10.9,24.0,9.5,18.0,13.6,18.88,18.88,161.9,5.4,http://insider.espn.go.com/nba/players/hollinger?playerId=1711,Drew Gooden
60,"Elliot Williams, POR",24,6.2,.537,6.5,5.4,23.9,5.4,9.6,7.4,18.85,18.85,17.9,0.6,http://insider.espn.go.com/nba/players/hollinger?playerId=4294,Elliot Williams
RK,PLAYER,GP,MPG,TS%,AST,TO,USG,ORR,DRR,REBR,PER,,VA,EWA,,
61,"Sean Williams, BOS/DAL",11,9.7,.722,11.7,23.4,12.6,14.2,12.5,13.4,18.75,18.75,11.6,0.4,http://insider.espn.go.com/nba/players/hollinger?playerId=3239,Sean Williams
62,"Danny Granger, IND",62,33.3,.542,8.5,8.5,23.7,4.3,12.3,8.4,18.68,18.68,251.6,8.4,http://insider.espn.go.com/nba/players/hollinger?playerId=2760,Danny Granger
63,"Tyson Chandler, NY",62,33.2,.708,8.6,15.7,11.7,11.8,22.7,17.2,18.66,18.66,248.1,8.3,http://insider.espn.go.com/nba/players/hollinger?playerId=984,Tyson Chandler
64,"Nene , DEN/WSH",39,28.5,.573,12.4,14.9,20.5,6.7,23.3,15.2,18.65,18.65,133.3,4.4,http://insider.espn.go.com/nba/players/hollinger?playerId=1713,Nene 
